0.00600857 	978.58 	-1.28636e-07 	3.2331e-13
0.00605194 	978.58 	-1.28636e-07 	3.31261e-13
0.00612086 	978.58 	-1.28636e-07 	3.38345e-13
0.00618845 	978.58 	-1.28636e-07 	3.38558e-13
0.00625472 	978.58 	-1.28636e-07 	3.38739e-13
0.0063197 	978.58 	-1.28636e-07 	3.39028e-13
0.00638343 	978.58 	-1.28636e-07 	3.3938e-13
0.00644591 	978.58 	-1.28636e-07 	3.3969e-13
0.00650718 	978.58 	-1.28636e-07 	3.39896e-13
0.00656726 	978.58 	-1.28636e-07 	3.40195e-13
0.00662618 	978.58 	-1.28636e-07 	3.40408e-13
0.00668395 	978.58 	-1.28636e-07 	3.40534e-13
0.0067406 	978.58 	-1.28636e-07 	3.40404e-13
0.00679615 	978.58 	-1.28634e-07 	3.39552e-13
0.00685062 	978.58 	-1.2863e-07 	3.3617e-13
0.00690403 	978.58 	-1.28619e-07 	3.26538e-13
0.0069564 	978.58 	-1.28586e-07 	3.00069e-13
0.00700776 	978.58 	-1.28496e-07 	2.2924e-13
0.00705812 	978.579 	-1.28252e-07 	4.14967e-14
0.0071075 	978.578 	-1.27598e-07 	-4.44688e-13
0.00715593 	978.575 	-1.2588e-07 	-1.68729e-12
0.00720341 	978.566 	-1.21415e-07 	-4.80651e-12
0.00724997 	978.545 	-1.10046e-07 	-1.2535e-11
0.00729563 	978.493 	-8.14034e-08 	-3.13384e-11
0.0073404 	978.365 	-1.07005e-08 	-7.64615e-11
0.0073843 	978.057 	1.61774e-07 	-1.82634e-10
0.00742735 	977.33 	5.73408e-07 	-4.28393e-10
0.00746956 	975.647 	1.54155e-06 	-9.82645e-10
0.00751095 	971.864 	3.75428e-06 	-2.20112e-09
0.00755154 	963.709 	8.69607e-06 	-4.75625e-09
0.00759134 	947.232 	1.91725e-05 	-9.81618e-09
0.00763037 	916.889 	4.01343e-05 	-1.88358e-08
0.00766863 	867.058 	7.7171e-05 	-3.32577e-08
0.00770616 	794.593 	0.000136115 	-5.32381e-08
0.00774296 	700.612 	0.000215495 	-7.89387e-08
0.00777904 	590.743 	0.000321952 	-1.08136e-07
0.00781442 	475.694 	0.000437312 	-1.34655e-07
0.00784912 	372.876 	0.000540581 	-1.50702e-07
0.00788314 	299.248 	0.000588493 	-1.57142e-07
0.0079165 	257.356 	0.000620094 	-1.60121e-07
0.00794921 	236.603 	0.000643566 	-1.60706e-07
0.00798129 	225.98 	0.000658703 	-1.59586e-07
0.00801274 	219.401 	0.000666903 	-1.57684e-07
0.00804359 	214.266 	0.000672248 	-1.55506e-07
0.00807383 	209.613 	0.000676514 	-1.53221e-07
0.00810349 	205.142 	0.000680081 	-1.50911e-07
0.00813257 	200.745 	0.000683528 	-1.48637e-07
0.00816109 	196.368 	0.000686993 	-1.46398e-07
0.00818905 	191.998 	0.000690486 	-1.44184e-07
0.00821647 	187.643 	0.000693987 	-1.41987e-07
0.00824336 	183.313 	0.000697452 	-1.39804e-07
0.00826972 	179.005 	0.000700912 	-1.37637e-07
0.00829558 	174.722 	0.000704302 	-1.35476e-07
0.00832093 	170.469 	0.000707606 	-1.3332e-07
0.00834579 	166.253 	0.000710807 	-1.31166e-07
0.00837016 	162.078 	0.000713892 	-1.29014e-07
0.00839406 	157.947 	0.000716852 	-1.26863e-07
0.0084175 	153.863 	0.000719677 	-1.24714e-07
0.00844049 	150.32 	1.38216 	0.0304989
0.00846302 	146.329 	1.38351 	0.0305303
0.00848512 	142.393 	1.38459 	0.0305557
0.00850679 	138.516 	1.38538 	0.0305744
0.00852804 	134.694 	1.38589 	0.0305868
0.00854888 	130.93 	1.38613 	0.0305929
0.00856931 	127.227 	1.38607 	0.0305921
0.00858934 	123.585 	1.38571 	0.0305845
0.00860899 	120.006 	1.38504 	0.0305699
0.00862826 	116.492 	1.38407 	0.0305483
0.00864715 	113.043 	1.38277 	0.0305195
0.00866567 	109.66 	1.38115 	0.0304834
0.00868383 	106.345 	1.37921 	0.03044
0.00870164 	103.098 	1.37694 	0.0303894
0.00871911 	99.9196 	1.37437 	0.0303317
0.00873624 	96.8105 	1.37147 	0.0302668
0.00875303 	92.2688 	2.22841 	4.59604e-12
0.0087695 	89.3342 	2.22222 	4.43992e-12
0.00878564 	86.4695 	2.21554 	4.3178e-12
0.00880148 	83.6746 	2.20835 	4.1431e-12
0.008817 	80.9493 	2.20067 	3.95396e-12
0.00883223 	78.2932 	2.19251 	3.79627e-12
0.00884716 	75.7058 	2.18388 	3.7058e-12
0.0088618 	73.1865 	2.17478 	3.61338e-12
0.00887615 	70.7346 	2.16521 	3.47311e-12
0.00889023 	68.3492 	2.15521 	3.3217e-12
0.00890403 	66.0294 	2.14476 	3.19689e-12
0.00891757 	63.7743 	2.13389 	3.10328e-12
0.00893084 	61.5827 	2.12259 	2.94652e-12
0.00894385 	59.4536 	2.11089 	2.84341e-12
0.00895661 	57.3857 	2.09878 	2.74045e-12
0.00896913 	55.3779 	2.08626 	2.65669e-12
0.0089814 	53.4288 	2.07334 	2.56376e-12
0.00899343 	51.5372 	2.06002 	2.48138e-12
0.00900523 	49.7018 	2.04633 	2.39594e-12
0.0090168 	47.9213 	2.03227 	2.32885e-12
0.00902814 	46.1943 	2.01786 	2.19561e-12
0.00903927 	44.5195 	2.0031 	2.09774e-12
0.00905018 	42.8956 	1.98799 	2.03028e-12
0.00906087 	41.3213 	1.97255 	1.96165e-12
0.00907136 	39.7951 	1.95677 	1.88533e-12
0.00908165 	38.3161 	1.94065 	1.81234e-12
